result_version,model,val500_nll,validation_rows,supervised_targets,dev512_pass,dev512_rows,dev100_strict_pass,arc_easy_acc,arc_easy_acc_norm,piqa_acc,piqa_acc_norm,evidence_id
P3_INTERPOLATION_DIAGNOSTICS_V1,P2 step 750,1.3221096422969132,500,43573,4,512,0,0.5845959595959596,0.5307239057239057,0.6403699673558215,0.6420021762785637,EVID-INTERP-COMPARISON
P3_INTERPOLATION_DIAGNOSTICS_V1,P3 step 320,1.400923154743602,500,43573,484,512,20,0.5686026936026936,0.5130471380471381,0.6332970620239391,0.6207834602829162,EVID-INTERP-COMPARISON
P3_INTERPOLATION_DIAGNOSTICS_V1,P3 step 640,1.4393337731032165,500,43573,476,512,17,0.5635521885521886,0.51010101010101,0.6332970620239391,0.6196953210010882,EVID-INTERP-COMPARISON
P3_INTERPOLATION_DIAGNOSTICS_V1,alpha050,1.340176097788603,500,43573,445,512,9,0.5841750841750841,0.5315656565656566,0.6354733405875952,0.6305767138193689,EVID-INTERP-COMPARISON
P3_INTERPOLATION_DIAGNOSTICS_V1,alpha075,1.365310530149198,500,43573,487,512,16,0.5765993265993266,0.5223063973063973,0.6365614798694232,0.6262241566920566,EVID-INTERP-COMPARISON
